,id,apelido,pontuacao,posicao_id,clube_id,scouts,entrou,rodada_id
0,100652,Yuri Alberto,2.9,5,264,"{'FD': 2, 'FS': 1}",True,1
1,100742,Matheus Henrique,-1.9,4,283,"{'CA': 1, 'FC': 3}",True,1
2,100846,Lucas Esteves,2.8,2,284,"{'DS': 1, 'FF': 1, 'FS': 1}",True,1
3,100898,Vitinho,10.7,2,263,"{'DS': 4, 'FC': 1, 'SG': 1}",True,1
4,100969,Ronald Lopes,-1.1,4,287,"{'CA': 1, 'FC': 2, 'FS': 1}",True,1
5,101002,Júnior Santos,1.7,5,282,"{'FD': 1, 'FS': 1}",True,1
6,101027,Diego,13.8,2,354,"{'A': 1, 'DS': 4, 'FF': 1, 'FS': 4}",True,1
7,101290,Ferreira,4.2,5,276,"{'DS': 2, 'FC': 1, 'FS': 3}",True,1
8,101314,Ademir,4.7,5,265,"{'DS': 2, 'FD': 1, 'FS': 1}",True,1
9,101319,Guga,2.5,2,266,"{'DS': 1, 'FC': 1, 'FF': 1, 'FS': 1}",True,1
10,101573,Pepê,4.7,4,287,"{'DS': 2, 'FC': 1, 'FS': 4}",True,1
11,101594,Hugo Moura,3.3,4,267,"{'DS': 1, 'FC': 1, 'FF': 2, 'FS': 1}",True,1
12,101752,Claudinho,3.7,2,287,"{'DS': 2, 'FC': 1, 'FS': 2}",True,1
13,101908,Willian Machado,0.0,3,354,{},True,1
14,101960,Vitinho,2.4,5,285,"{'CA': 1, 'DS': 2, 'FC': 3, 'FF': 1, 'FS': 1}",True,1
15,102130,Piquerez,5.8,2,275,"{'FF': 1, 'SG': 1}",True,1
16,102253,Lucas Halter,-1.3,3,287,"{'CA': 1, 'FC': 1}",True,1
17,102256,Rollheiser,0.0,4,277,{},True,1
18,102340,Cacá,0.5,3,264,{'FS': 1},True,1
19,102928,Canobbio,2.0,5,266,"{'DS': 1, 'FS': 1}",True,1
20,102950,Facundo Torres,1.7,5,275,"{'DS': 1, 'FC': 1, 'FS': 1}",True,1
21,102975,Escobar,10.2,2,277,"{'DS': 6, 'FC': 1, 'FS': 3}",True,1
22,103014,Laquintana,10.1,5,280,"{'DS': 1, 'FF': 1, 'G': 1, 'I': 2}",True,1
23,103056,Gabriel Brazão,1.9,1,277,"{'DE': 3, 'GS': 2}",True,1
24,103295,Eric Ramires,8.7,4,280,"{'FC': 1, 'FS': 2, 'G': 1}",True,1
25,103347,Matheus Alexandre,5.2,2,292,"{'CA': 1, 'DS': 1, 'FC': 1, 'SG': 1}",True,1
26,103388,Emmanuel Martínez,6.6,4,356,"{'DS': 4, 'FC': 2, 'FD': 1}",True,1
27,103445,Kaio Jorge,5.6,5,283,"{'DS': 1, 'FF': 2, 'FS': 5}",True,1
28,103764,Gabriel Veron,3.2,5,277,"{'DS': 2, 'FC': 1, 'FS': 1}",True,1
29,103767,Gabriel Menino,2.5,4,282,"{'DS': 1, 'FS': 2}",True,1
30,104027,Rafael Guanaes,2.33,6,2305,{},True,1
31,104075,Sabino,7.3,3,276,"{'FC': 2, 'FD': 2, 'FS': 1, 'SG': 1}",True,1
32,104085,Bruno Fuchs,6.2,3,275,"{'DS': 1, 'FC': 1, 'SG': 1}",True,1
33,104134,Fabri,1.0,5,287,"{'FC': 1, 'FF': 1, 'FS': 1}",True,1
34,104204,Edson Carioca,4.5,5,2305,"{'CA': 1, 'DS': 2, 'FC': 1, 'FD': 1, 'FF': 2}",True,1
35,104250,João Victor,2.0,3,267,"{'DS': 1, 'FS': 1}",True,1
36,104253,Adriano Martins,9.3,3,286,"{'DS': 2, 'FC': 1, 'FF': 2, 'SG': 1}",True,1
37,104257,João Lucas,3.0,2,284,{'DS': 2},True,1
38,104271,Hereda,8.2,2,292,"{'DS': 1, 'FD': 1, 'FS': 1, 'SG': 1}",True,1
39,104519,Camilo,2.6,4,284,"{'DS': 2, 'FC': 4, 'FF': 1}",True,1
40,104528,Igor Jesus,6.9,5,263,"{'FC': 1, 'FD': 3, 'FF': 2, 'FS': 4}",True,1
41,104666,Moisés,0.1,5,356,"{'CA': 1, 'DS': 1, 'FC': 1, 'I': 1}",True,1
42,104693,Newton,0.0,4,263,{},True,1
43,104754,Juan Vojvoda,7.25,6,356,{'V': 1},True,1
44,104758,Enzo Díaz,7.7,2,276,"{'DS': 2, 'FC': 1, 'SG': 1}",True,1
45,104783,Acevedo,0.0,4,265,{},True,1
46,104849,Arezo,9.2,5,284,"{'FD': 1, 'G': 1}",True,1
47,104994,Wagner Leonardo,2.9,3,284,"{'CA': 1, 'DS': 3, 'FC': 2}",True,1
48,105171,Fabrício Daniel,-0.3,5,2305,{'FC': 1},True,1
49,105214,Santiago Rodríguez,0.8,4,263,{'FF': 1},True,1
50,105337,Lucas Lima,0.5,4,354,{'FS': 1},True,1
51,105373,Gabriel Xavier,-0.1,3,265,"{'CA': 1, 'DS': 1, 'FC': 2}",True,1
52,105568,Lucero,10.7,5,356,"{'DS': 2, 'FC': 1, 'G': 1}",True,1
53,105584,Lucas Piton,-1.6,2,267,"{'CA': 1, 'FC': 2}",True,1
54,105786,Talles Magno,1.4,5,264,"{'FC': 5, 'FS': 6, 'I': 1}",True,1
55,105811,Wesley,5.0,5,285,"{'DS': 2, 'FS': 4}",True,1
56,105903,José Aldo,1.7,4,2305,"{'DS': 1, 'FC': 1, 'FS': 1}",True,1
57,105949,Rochet,3.1,1,285,"{'DE': 2, 'FS': 1}",True,1
58,105990,Santiago Mingo,0.6,3,265,"{'FC': 1, 'FS': 2, 'I': 1}",True,1
59,106082,Ewerthon,10.5,2,286,"{'DS': 3, 'FC': 1, 'FF': 1, 'FS': 1, 'SG': 1}",True,1
60,106147,Thiago Carpini,1.83,6,287,{},True,1
61,106294,Marcos Antônio,0.2,4,276,"{'FC': 1, 'FS': 1}",True,1
62,106323,Caio Alexandre,0.7,4,265,"{'FC': 2, 'FF': 1, 'FS': 1}",True,1
63,106681,Léo Pereira,2.2,5,287,"{'DS': 1, 'FC': 1, 'FS': 2}",True,1
64,106704,Carlos Alberto,1.5,5,292,{'DS': 1},True,1
65,106822,Rodrigo Nestor,0.8,4,265,{'FF': 1},True,1
66,107093,Luciano Juba,5.0,2,265,{'A': 1},True,1
67,107111,Richard Ríos,3.5,4,275,"{'DS': 1, 'FC': 1, 'FF': 1, 'FS': 3}",True,1
68,107172,Patrick de Paula,3.2,4,263,"{'DS': 1, 'FC': 2, 'FF': 1, 'FS': 3}",True,1
69,107179,Matheus Donelli,4.2,1,264,"{'DE': 4, 'GS': 1}",True,1
70,107516,Ênio,4.1,5,286,"{'CA': 1, 'DS': 1, 'FC': 1, 'FD': 2, 'FS': 3}",True,1
71,107554,Natanael,2.7,2,282,"{'DS': 2, 'FC': 1}",True,1
72,107726,Chrystian Barletta,0.2,5,292,"{'FC': 1, 'FS': 1}",True,1
73,107771,Fábio Matias,8.530000000000001,6,286,{'V': 1},True,1
74,107908,Hugo,1.7,2,264,"{'DS': 1, 'FC': 1, 'FS': 1}",True,1
75,107989,Carbonero,3.0,5,285,"{'DS': 1, 'FS': 3}",True,1
76,108509,Fabricio Domínguez,1.2,4,292,"{'DS': 1, 'FC': 1}",True,1
77,108671,Garré,1.5,5,267,{'DS': 1},True,1
78,108683,Emiliano Martínez,1.3,4,275,"{'FF': 1, 'FS': 1}",True,1
79,108713,Galeano,2.7,5,354,"{'FD': 1, 'FS': 3}",True,1
80,109096,Plata,2.3,5,262,"{'DS': 1, 'FF': 1}",True,1
81,109401,Erick Pulga,2.7,5,265,"{'FC': 1, 'FD': 1, 'FF': 1, 'FS': 2}",True,1
82,109573,Martinelli,6.2,4,266,"{'DS': 2, 'FC': 1, 'FD': 1, 'FF': 1, 'FS': 3}",True,1
83,109899,Batalla,-0.6,5,286,"{'CA': 1, 'FC': 3, 'FF': 1, 'FS': 1}",True,1
84,110426,Bernabéi,12.5,2,285,"{'A': 1, 'DS': 5}",True,1
85,110506,Abel Ferreira,6.61,6,275,{},True,1
86,110510,Aguirre,6.0,2,285,{'DS': 4},True,1
87,110632,Luiz Filipe,-0.6,5,2305,{'FC': 2},True,1
88,110715,Andrés Hurtado,4.6,2,280,"{'DS': 2, 'FF': 2}",True,1
89,110727,Rubens,1.5,4,282,{'DS': 1},True,1
90,110818,Renato Paiva,5.6,6,263,{},True,1
91,111166,Rômulo,0.0,4,354,{},True,1
92,111407,Luis Mandaca,4.1,4,286,"{'DS': 2, 'FC': 3, 'FS': 4}",True,1
93,111594,Micael,4.7,3,275,"{'FC': 1, 'SG': 1}",True,1
94,111682,Adson,0.0,4,267,{},True,1
95,111683,Anthoni,1.6,1,285,"{'DE': 2, 'GS': 1}",True,1
96,111831,Matheus Martins,1.5,5,263,"{'CA': 1, 'DS': 1, 'FS': 2}",True,1
97,112709,Kaiki Bruno,5.7,2,283,"{'DS': 3, 'FC': 1, 'FS': 3}",True,1
98,112886,Lucas Barbosa,9.0,5,280,"{'A': 1, 'DS': 1, 'FD': 1, 'FF': 1, 'FS': 1}",True,1
99,113034,Freytes,-0.3,3,266,{'FC': 1},True,1
100,113103,Flaco López,1.2,5,275,{'FD': 1},True,1
101,113158,Marquinhos,1.2,5,283,"{'DS': 1, 'FC': 1}",True,1
102,113397,Cristian Olivera,1.3,5,284,"{'CA': 1, 'DS': 2, 'FC': 4, 'FS': 1}",True,1
103,113687,Du Queiroz,-1.0,4,292,{'PC': 1},True,1
104,114334,Gamarra,3.2,3,283,"{'DS': 3, 'FC': 1, 'PC': 1}",True,1
105,114802,Vitor Roque,6.2,5,275,"{'DS': 3, 'FC': 2, 'FF': 1, 'FS': 3}",True,1
106,115239,Wesley,5.1,2,262,"{'DS': 3, 'FC': 1, 'FS': 2, 'I': 1}",True,1
107,115248,Jhon Jhon,3.3,4,280,"{'DS': 1, 'FF': 1, 'FS': 2}",True,1
108,116012,Matheus Gonçalves,3.2,4,262,"{'DS': 1, 'FD': 1, 'FS': 1}",True,1
109,116065,Cuiabano,4.7,2,263,"{'FC': 1, 'SG': 1}",True,1
110,116447,Hércules,0.5,4,266,{'FS': 1},True,1
111,116461,Jamerson,6.7,2,287,"{'DS': 2, 'FC': 1, 'FD': 2, 'FF': 2}",True,1
112,117314,Thiago Borbas,-0.3,5,280,{'FC': 1},True,1
113,117459,Léo Maná,0.0,2,264,{},True,1
114,117711,Pedro Caixinha,4.84,6,277,{},True,1
115,117910,Breno Bidon,12.2,4,264,"{'A': 1, 'CA': 1, 'DS': 4, 'FC': 6, 'FD': 1, 'FF': 1, 'FS': 4}",True,1
116,117930,Lavega,0.5,5,266,{'FS': 1},True,1
117,118758,Jair,6.2,3,263,"{'FC': 1, 'FS': 3, 'SG': 1}",True,1
118,120566,Vitor Pernambuco,1.5,5,286,{'DS': 1},True,1
119,121792,André,1.3,5,284,"{'FF': 1, 'FS': 1}",True,1
120,122394,Gustavinho,-0.6,4,280,{'FC': 2},True,1
121,122573,Wallace Yan,3.0,5,262,"{'FF': 2, 'FS': 3, 'I': 1}",True,1
122,122755,Lucas Cunha,5.0,3,292,{'SG': 1},True,1
123,122861,Abner,13.0,3,286,"{'A': 1, 'DS': 2, 'SG': 1}",True,1
124,122897,Guzmán Rodríguez,0.5,3,280,{'FS': 1},True,1
125,123788,Lezcano,2.0,4,266,"{'DS': 1, 'FS': 1}",True,1
126,123795,Lucho Rodríguez,6.1,5,265,"{'DS': 2, 'FC': 2, 'FD': 2, 'FF': 1, 'FS': 1}",True,1
127,123907,Pepa,5.56,6,292,{},True,1
128,124239,Henry Mosquera,0.9,5,280,"{'FC': 1, 'FD': 1}",True,1
129,124251,Deivid Washington,0.5,5,277,{'FS': 1},True,1
130,124526,Giay,5.0,2,275,{'SG': 1},True,1
131,125467,Viery,-0.3,3,284,{'FC': 1},True,1
132,125488,João Pedro,1.0,3,264,"{'CA': 1, 'DS': 1, 'FC': 1, 'FF': 1}",True,1
133,126182,Paulinho,4.9,4,267,"{'DS': 3, 'FC': 2, 'FS': 2}",True,1
134,126471,Barreal,10.8,4,277,"{'DS': 1, 'FF': 1, 'FS': 1, 'G': 1}",True,1
135,126977,Fernando Seabra,5.24,6,280,{},True,1
136,128915,Estêvão,2.9,5,275,"{'CA': 1, 'FC': 2, 'FF': 2, 'FS': 6, 'I': 1}",True,1
137,130386,Maceió,1.6,5,2305,"{'DS': 1, 'FC': 1, 'FS': 1, 'I': 1}",True,1
138,130884,Igor Serrote,0.9,2,284,"{'DS': 1, 'FC': 2}",True,1
139,131516,JP Chermont,2.1,2,277,"{'CA': 1, 'DS': 2, 'FC': 4, 'FF': 1, 'FS': 1}",True,1
140,131617,André Silva,0.8,5,276,{'FF': 1},True,1
141,132071,Serna,0.5,5,266,{'FS': 1},True,1
142,132553,Jemmes,0.1,3,2305,"{'CA': 1, 'DS': 1, 'FC': 4, 'FF': 1}",True,1
143,132580,Vinicinho,0.9,5,280,"{'FC': 2, 'FS': 3}",True,1
144,139076,Filipe Luís,4.93,6,262,{},True,1
145,140364,João Marcelo,0.8,5,282,{'FF': 1},True,1
146,140365,Luca Meirelles,-0.3,5,277,{'FC': 1},True,1
147,140541,Lucas Ferreira,2.0,4,276,"{'DS': 1, 'FS': 1}",True,1
148,140542,Ryan Francisco,0.0,5,276,{},True,1
149,141493,Loide Augusto,3.2,5,267,"{'DS': 1, 'FD': 1, 'FS': 1}",True,1
150,141607,Matheus Alves,2.3,4,276,"{'FC': 1, 'FF': 2, 'FS': 2}",True,1
151,141754,Gabriel Bontempo,7.1,4,277,"{'DS': 3, 'FF': 2, 'FS': 2}",True,1
152,141763,Fabiano Souza,5.1,2,354,"{'CA': 1, 'DS': 3, 'FC': 3, 'FD': 1, 'FF': 1, 'FS': 1}",True,1
153,141996,João Silva,7.0,3,292,"{'DS': 1, 'FS': 1, 'SG': 1}",True,1
154,142004,Amuzu,5.1,5,284,"{'DS': 1, 'FD': 2, 'FF': 1, 'FS': 1, 'I': 1}",True,1
155,142279,Nuno Moreira,10.9,5,267,"{'DS': 1, 'FC': 1, 'FF': 1, 'FS': 2, 'G': 1, 'I': 1}",True,1
156,37457,Léo Condé,5.63,6,354,{},True,1
157,37656,Fábio,0.6,1,266,"{'DE': 2, 'GS': 2}",True,1
158,37715,Thiago Silva,0.0,3,266,{},True,1
159,39148,Hulk,4.3,5,282,"{'FD': 1, 'FF': 2, 'FS': 3}",True,1
160,39656,Alan Franco,1.0,4,282,{'FS': 2},True,1
161,41929,Renato Gaúcho,2.45,6,266,{},True,1
162,42234,Cássio,10.2,1,283,"{'CA': 1, 'DE': 4, 'DP': 1, 'GS': 1}",True,1
163,42411,Cuca,5.74,6,282,{},True,1
164,51772,Everton Ribeiro,-0.6,4,265,"{'CV': 1, 'DS': 1, 'FC': 2, 'FS': 3}",True,1
165,52271,Fernando,1.2,4,285,"{'DS': 1, 'FC': 1}",True,1
166,52827,David Luiz,4.7,3,356,"{'FC': 1, 'SG': 1}",True,1
167,61987,Alex Sandro,8.5,2,262,"{'DS': 4, 'FC': 1, 'FF': 1, 'FS': 4}",True,1
168,63110,Alan Ruschel,4.7,2,286,"{'FC': 1, 'SG': 1}",True,1
169,63289,Edenílson,7.7,4,284,"{'FC': 1, 'G': 1}",True,1
170,68685,Alan Patrick,1.0,4,285,"{'CA': 1, 'DS': 1, 'FC': 1, 'FF': 1}",True,1
171,68899,Philippe Coutinho,3.5,4,267,"{'FC': 1, 'FD': 1, 'FF': 2, 'FS': 2}",True,1
172,68920,Dudu,13.9,5,282,"{'DS': 3, 'FC': 2, 'FS': 4, 'G': 1}",True,1
173,68923,Gil,1.7,3,277,"{'DS': 1, 'FC': 1, 'FS': 1}",True,1
174,68928,Rafael,7.6,1,276,"{'DE': 2, 'SG': 1}",True,1
175,68952,Marinho,5.2,5,356,"{'A': 1, 'FC': 3, 'FF': 1, 'FS': 1, 'I': 2}",True,1
176,68991,Lucas Sasha,1.8,4,356,"{'DS': 2, 'FC': 4}",True,1
177,69138,Pablo,2.5,5,292,"{'DS': 1, 'FC': 1, 'FS': 3, 'I': 2}",True,1
178,70360,Eduardo Sasha,2.4,5,280,{'FD': 2},True,1
179,70449,Gabriel,1.1,1,292,"{'DE': 2, 'FS': 1, 'GS': 2}",True,1
180,70592,Felipe Anderson,-0.3,4,275,{'FC': 1},True,1
181,70666,Marllon,9.5,3,354,"{'DS': 1, 'G': 1}",True,1
182,70696,Fábio Carille,6.29,6,267,{'V': 1},True,1
183,70788,Enner Valencia,-0.6,5,285,{'FC': 2},True,1
184,70916,Diogo Barbosa,8.7,2,356,"{'DS': 2, 'FC': 1, 'FS': 2, 'SG': 1}",True,1
185,70944,Bruno Henrique,9.8,4,285,"{'DS': 2, 'FC': 4, 'G': 1}",True,1
