,local,mandante_id,visitante_id,placar_mandante,placar_visitante,posicao_mandante,posicao_visitante,aproveitamento_mandante,aproveitamento_visitante,rodada_id
0,Morumbis,276,292,0.0,0.0,7,20,"['v', 'v', 'e', 'v', 'd']","['e', 'v', 'e', 'd', 'e']",1
1,Mineirão,283,2305,2.0,1.0,2,6,"['v', 'd', 'e', 'v', 'v']","['v', 'd', 'e', 'v', 'e']",1
2,Arena do Grêmio,284,282,2.0,1.0,14,12,"['d', 'd', 'v', 'e', 'e']","['v', 'e', 'd', 'd', 'e']",1
3,Castelão (CE),356,266,2.0,0.0,19,9,"['e', 'd', 'd', 'd', 'e']","['v', 'e', 'v', 'd', 'e']",1
4,Alfredo Jaconi,286,287,2.0,0.0,16,18,"['v', 'e', 'v', 'd', 'v']","['e', 'd', 'e', 'd', 'e']",1
5,Maracanã,262,285,1.0,1.0,1,13,"['e', 'v', 'v', 'v', 'e']","['d', 'v', 'd', 'd', 'e']",1
6,Allianz Parque,275,263,0.0,0.0,3,5,"['e', 'v', 'v', 'v', 'e']","['d', 'v', 'd', 'v', 'v']",1
7,São Januário,267,277,2.0,1.0,17,15,"['e', 'v', 'd', 'd', 'e']","['v', 'v', 'd', 'd', 'e']",1
8,Casa de Apostas Arena Fonte Nova,265,264,1.0,1.0,4,11,"['e', 'e', 'v', 'v', 'e']","['e', 'd', 'd', 'v', 'e']",1
9,Nabi Abi Chedid,280,354,2.0,2.0,8,10,"['d', 'd', 'd', 'v', 'd']","['e', 'd', 'v', 'e', 'd']",1
10,Neo Química Arena,264,267,3.0,0.0,11,17,"['e', 'd', 'd', 'v', 'e']","['e', 'v', 'd', 'd', 'e']",2
11,Castelão (CE),354,284,2.0,0.0,10,14,"['e', 'd', 'v', 'e', 'd']","['d', 'd', 'v', 'e', 'e']",2
12,Nilton Santos (Engenhão),263,286,2.0,0.0,5,16,"['d', 'v', 'd', 'v', 'v']","['v', 'e', 'v', 'd', 'v']",2
13,Maracanã,266,280,2.0,1.0,9,8,"['v', 'e', 'v', 'd', 'e']","['d', 'd', 'd', 'v', 'd']",2
14,Mineirão,282,276,0.0,0.0,12,7,"['v', 'e', 'd', 'd', 'e']","['v', 'v', 'e', 'v', 'd']",2
15,Maião,2305,356,1.0,1.0,6,19,"['v', 'd', 'e', 'v', 'e']","['e', 'd', 'd', 'd', 'e']",2
16,Beira-Rio,285,283,3.0,0.0,13,2,"['d', 'v', 'd', 'd', 'e']","['v', 'd', 'e', 'v', 'v']",2
17,Barradão,287,262,1.0,2.0,18,1,"['e', 'd', 'e', 'd', 'e']","['e', 'v', 'v', 'v', 'e']",2
18,Ilha do Retiro,292,275,1.0,2.0,20,3,"['e', 'v', 'e', 'd', 'e']","['e', 'v', 'v', 'v', 'e']",2
19,Vila Belmiro,277,265,2.0,2.0,15,4,"['v', 'v', 'd', 'd', 'e']","['e', 'e', 'v', 'v', 'e']",2
20,Nabi Abi Chedid,280,263,1.0,0.0,8,5,"['d', 'd', 'd', 'v', 'd']","['d', 'v', 'd', 'v', 'v']",3
21,Alfredo Jaconi,286,354,2.0,1.0,16,10,"['v', 'e', 'v', 'd', 'v']","['e', 'd', 'v', 'e', 'd']",3
22,Arena Barueri,275,264,2.0,0.0,3,11,"['e', 'v', 'v', 'v', 'e']","['e', 'd', 'd', 'v', 'e']",3
23,São Januário,267,292,3.0,1.0,17,20,"['e', 'v', 'd', 'd', 'e']","['e', 'v', 'e', 'd', 'e']",3
24,Casa de Apostas Arena Fonte Nova,265,2305,1.0,1.0,4,6,"['e', 'e', 'v', 'v', 'e']","['v', 'd', 'e', 'v', 'e']",3
25,Morumbis,276,283,1.0,1.0,7,2,"['v', 'v', 'e', 'v', 'd']","['v', 'd', 'e', 'v', 'v']",3
26,Arena do Grêmio,284,262,0.0,2.0,14,1,"['d', 'd', 'v', 'e', 'e']","['e', 'v', 'v', 'v', 'e']",3
27,Maracanã,266,277,1.0,0.0,9,15,"['v', 'e', 'v', 'd', 'e']","['v', 'v', 'd', 'd', 'e']",3
28,Castelão (CE),356,285,0.0,0.0,19,13,"['e', 'd', 'd', 'd', 'e']","['d', 'v', 'd', 'd', 'e']",3
29,Mineirão,282,287,2.0,2.0,12,18,"['v', 'e', 'd', 'd', 'e']","['e', 'd', 'e', 'd', 'e']",3
30,Castelão (CE),354,267,2.0,1.0,10,17,"['e', 'd', 'v', 'e', 'd']","['e', 'v', 'd', 'd', 'e']",4
31,Nilton Santos (Engenhão),263,276,2.0,2.0,5,7,"['d', 'v', 'd', 'v', 'v']","['v', 'v', 'e', 'v', 'd']",4
32,Maião,2305,284,4.0,1.0,6,14,"['v', 'd', 'e', 'v', 'e']","['d', 'd', 'v', 'e', 'e']",4
33,Ilha do Retiro,292,280,0.0,1.0,20,8,"['e', 'v', 'e', 'd', 'e']","['d', 'd', 'd', 'v', 'd']",4
34,Neo Química Arena,264,266,0.0,2.0,11,9,"['e', 'd', 'd', 'v', 'e']","['v', 'e', 'v', 'd', 'e']",4
35,Beira-Rio,285,275,0.0,1.0,13,3,"['d', 'v', 'd', 'd', 'e']","['e', 'v', 'v', 'v', 'e']",4
36,Maracanã,262,286,6.0,0.0,1,16,"['e', 'v', 'v', 'v', 'e']","['v', 'e', 'v', 'd', 'v']",4
37,Vila Belmiro,277,282,2.0,0.0,15,12,"['v', 'v', 'd', 'd', 'e']","['v', 'e', 'd', 'd', 'e']",4
38,Barradão,287,356,2.0,1.0,18,19,"['e', 'd', 'e', 'd', 'e']","['e', 'd', 'd', 'd', 'e']",4
39,Mineirão,283,265,3.0,0.0,2,4,"['v', 'd', 'e', 'v', 'v']","['e', 'e', 'v', 'v', 'e']",4
40,Neo Química Arena,264,292,2.0,1.0,11,20,"['e', 'd', 'd', 'v', 'e']","['e', 'v', 'e', 'd', 'e']",5
41,Maracanã,267,262,0.0,0.0,17,1,"['e', 'v', 'd', 'd', 'e']","['e', 'v', 'v', 'v', 'e']",5
42,Arena do Grêmio,284,285,1.0,1.0,14,13,"['d', 'd', 'v', 'e', 'e']","['d', 'v', 'd', 'd', 'e']",5
43,Alfredo Jaconi,286,2305,2.0,2.0,16,6,"['v', 'e', 'v', 'd', 'v']","['v', 'd', 'e', 'v', 'e']",5
44,Morumbis,276,277,2.0,1.0,7,15,"['v', 'v', 'e', 'v', 'd']","['v', 'v', 'd', 'd', 'e']",5
45,Mineirão,282,263,1.0,0.0,12,5,"['v', 'e', 'd', 'd', 'e']","['d', 'v', 'd', 'v', 'v']",5
46,Maracanã,266,287,1.0,1.0,9,18,"['v', 'e', 'v', 'd', 'e']","['e', 'd', 'e', 'd', 'e']",5
47,Castelão (CE),356,275,1.0,2.0,19,3,"['e', 'd', 'd', 'd', 'e']","['e', 'v', 'v', 'v', 'e']",5
48,Nabi Abi Chedid,280,283,1.0,0.0,8,2,"['d', 'd', 'd', 'v', 'd']","['v', 'd', 'e', 'v', 'v']",5
49,Casa de Apostas Arena Fonte Nova,265,354,1.0,0.0,4,10,"['e', 'e', 'v', 'v', 'e']","['e', 'd', 'v', 'e', 'd']",5
50,Beira-Rio,285,286,3.0,1.0,13,16,"['d', 'v', 'd', 'd', 'e']","['v', 'e', 'v', 'd', 'v']",6
51,Maião,2305,282,2.0,2.0,6,12,"['v', 'd', 'e', 'v', 'e']","['v', 'e', 'd', 'd', 'e']",6
52,Castelão (CE),354,276,1.0,1.0,10,7,"['e', 'd', 'v', 'e', 'd']","['v', 'v', 'e', 'v', 'd']",6
53,Ilha do Retiro,292,356,0.0,0.0,20,19,"['e', 'v', 'e', 'd', 'e']","['e', 'd', 'd', 'd', 'e']",6
54,Nilton Santos (Engenhão),263,266,2.0,0.0,5,9,"['d', 'v', 'd', 'v', 'v']","['v', 'e', 'v', 'd', 'e']",6
55,Maracanã,262,264,4.0,0.0,1,11,"['e', 'v', 'v', 'v', 'e']","['e', 'd', 'd', 'v', 'e']",6
56,Allianz Parque,275,265,0.0,1.0,3,4,"['e', 'v', 'v', 'v', 'e']","['e', 'e', 'v', 'v', 'e']",6
57,Parque do Sabiá,283,267,1.0,0.0,2,17,"['v', 'd', 'e', 'v', 'v']","['e', 'v', 'd', 'd', 'e']",6
58,Barradão,287,284,1.0,1.0,18,14,"['e', 'd', 'e', 'd', 'e']","['d', 'd', 'v', 'e', 'e']",6
59,Vila Belmiro,277,280,1.0,2.0,15,8,"['v', 'v', 'd', 'd', 'e']","['d', 'd', 'd', 'v', 'd']",6
60,Morumbis,276,356,0.0,0.0,7,19,"['v', 'v', 'e', 'v', 'd']","['e', 'd', 'd', 'd', 'e']",7
61,Maracanã,266,292,2.0,1.0,9,20,"['v', 'e', 'v', 'd', 'e']","['e', 'v', 'e', 'd', 'e']",7
62,Neo Química Arena,264,285,4.0,2.0,11,13,"['e', 'd', 'd', 'v', 'e']","['d', 'v', 'd', 'd', 'e']",7
63,Presidente Vargas (CE),354,287,1.0,0.0,10,18,"['e', 'd', 'v', 'e', 'd']","['e', 'd', 'e', 'd', 'e']",7
64,Casa de Apostas Arena Fonte Nova,265,263,1.0,0.0,4,5,"['e', 'e', 'v', 'v', 'e']","['d', 'v', 'd', 'v', 'v']",7
