,rodada_id,nome_rodada,inicio,fim
0,1,Rodada 1,2025-03-29 18:30:00,2025-03-31 20:00:00
1,2,Rodada 2,2025-04-05 18:30:00,2025-04-06 20:30:00
2,3,Rodada 3,2025-04-12 16:00:00,2025-04-13 20:30:00
3,4,Rodada 4,2025-04-16 18:30:00,2025-04-17 21:30:00
4,5,Rodada 5,2025-04-19 16:00:00,2025-04-21 20:00:00
5,6,Rodada 6,2025-04-26 16:00:00,2025-04-27 20:30:00
6,7,Rodada 7,2025-05-03 18:30:00,2025-05-05 20:00:00
7,8,Rodada 8,2025-05-10 16:00:00,2025-05-12 20:00:00
8,9,Rodada 9,2025-05-17 16:00:00,2025-05-18 20:30:00
9,10,Rodada 10,2025-05-24 18:30:00,2025-05-26 20:00:00
10,11,Rodada 11,2025-05-31 18:30:00,2025-06-01 20:30:00
11,12,Rodada 12,2025-06-12 19:00:00,2025-06-12 21:30:00
12,13,Rodada 13,2025-07-12 16:30:00,2025-07-14 20:00:00
13,14,Rodada 14,2025-07-16 19:00:00,2025-07-17 19:30:00
14,15,Rodada 15,2025-07-19 16:00:00,2025-07-20 19:30:00
15,16,Rodada 16,2025-07-23 19:00:00,2025-07-24 19:00:00
16,17,Rodada 17,2025-07-26 18:30:00,2025-07-27 20:30:00
17,18,Rodada 18,2025-08-02 16:00:00,2025-08-04 20:00:00
18,19,Rodada 19,2025-08-09 18:30:00,2025-08-11 20:00:00
19,20,Rodada 20,2025-08-16 16:00:00,2025-08-18 20:00:00
20,21,Rodada 21,2025-08-23 16:00:00,2025-08-25 21:00:00
21,22,Rodada 22,2025-08-30 16:00:00,2025-08-31 20:30:00
22,23,Rodada 23,2025-09-14 00:00:00,2025-09-14 20:30:00
23,24,Rodada 24,2025-09-21 00:00:00,2025-09-21 20:30:00
24,25,Rodada 25,2025-09-28 00:00:00,2025-09-28 20:30:00
25,26,Rodada 26,2025-10-01 00:00:00,2025-10-01 20:30:00
26,27,Rodada 27,2025-10-05 00:00:00,2025-10-05 00:00:00
27,28,Rodada 28,2025-10-15 00:00:00,2025-10-15 00:00:00
28,29,Rodada 29,2025-10-19 00:00:00,2025-10-19 00:00:00
29,30,Rodada 30,2025-10-26 00:00:00,2025-10-26 00:00:00
30,31,Rodada 31,2025-11-02 00:00:00,2025-11-02 00:00:00
31,32,Rodada 32,2025-11-05 00:00:00,2025-11-05 00:00:00
32,33,Rodada 33,2025-11-09 00:00:00,2025-11-09 00:00:00
33,34,Rodada 34,2025-11-19 00:00:00,2025-11-19 00:00:00
34,35,Rodada 35,2025-11-23 00:00:00,2025-11-23 00:00:00
35,36,Rodada 36,2025-11-30 00:00:00,2025-11-30 00:00:00
36,37,Rodada 37,2025-12-03 00:00:00,2025-12-03 00:00:00
37,38,Rodada 38,2025-12-07 00:00:00,2025-12-07 00:00:00
